[[ 0.]]
[[ 0.]]
[[ 9.]]
[[ 9.]]
[[ 1.]]
[[ 9.]]
[[ 0.]]
[[ 3.]]
[[ 0.]]
[[ 3.]]
[[ 3.]]
[[ 9.]]
[[ 9.]]
[[ 0.]]
[[ 7.]]
[[ 5.]]
[[ 2.]]
[[ 1.]]
[[ 9.]]
[[ 0.]]
[[ 7.]]
[[ 1.]]
[[ 8.]]
[[ 1.]]
[[ 7.]]
[[ 9.]]
[[ 3.]]
[[ 7.]]
[[ 9.]]
[[ 9.]]
[[ 7.]]
[[ 1.]]
[[ 9.]]
[[ 1.]]
[[ 6.]]
[[ 3.]]
[[ 4.]]
[[ 7.]]
[[ 1.]]
[[ 3.]]
[[ 7.]]
[[ 9.]]
[[ 4.]]
[[ 9.]]
[[ 1.]]
[[ 4.]]
[[ 1.]]
[[ 8.]]
[[ 6.]]
[[ 1.]]
[[ 6.]]
[[ 8.]]
[[ 1.]]
[[ 8.]]
[[ 9.]]
[[ 1.]]
[[ 1.]]
[[ 9.]]
[[ 1.]]
[[ 0.]]
[[ 4.]]
[[ 1.]]
[[ 7.]]
[[ 0.]]
[[ 6.]]
[[ 0.]]
[[ 1.]]
[[ 9.]]
[[ 0.]]
[[ 1.]]
[[ 6.]]
[[ 9.]]
[[ 4.]]
[[ 3.]]
[[ 2.]]
[[ 0.]]
[[ 9.]]
[[ 9.]]
[[ 1.]]
[[ 2.]]
[[ 9.]]
[[ 4.]]
[[ 1.]]
[[ 0.]]
[[ 9.]]
[[ 1.]]
[[ 9.]]
[[ 9.]]
[[ 2.]]
[[ 9.]]
[[ 1.]]
[[ 5.]]
[[ 6.]]
[[ 0.]]
[[ 5.]]
[[ 9.]]
[[ 9.]]
[[ 9.]]
[[ 4.]]
[[ 7.]]
